,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
741,breakfast,male,61,160,60,2026,76,56,304,4,310,9.0,5.2,59.0,0.7,0,2
742,breakfast,male,62,165,57,2544,95,71,382,4,610,20.5,12.8,102.9,2.1,0,2
743,dinner,male,47,173,76,2376,89,66,356,3,898,29.2,44.0,91.9,3.3,22,2
744,dinner,female,26,159,51,2042,77,57,306,1,576,20.2,24.5,64.7,1.2,75,1
745,dinner,male,62,165,57,2544,95,71,382,4,888,30.4,44.4,91.4,4.9,143,3
746,lunch,male,62,165,57,2544,95,71,382,3,843,21.2,46.0,78.8,2.5,86,2
747,breakfast,male,62,165,57,2544,95,71,382,4,610,20.5,12.8,102.9,2.1,0,2
748,lunch,female,26,159,51,2042,77,57,306,1,497,15.4,42.4,8.3,1.6,6,1
749,breakfast,female,26,159,51,2042,77,57,306,4,640,24.6,29.5,67.7,2.3,9,2
750,dinner,male,61,160,60,2026,76,56,304,5,1085,35.2,70.9,75.8,3.8,138,2
751,lunch,male,47,173,76,2376,89,66,356,2,775,25.3,19.5,117.7,3.3,0,2
752,dinner,female,43,160,48,2020,76,56,303,3,556,28.5,34.2,32.5,4.0,133,2
753,lunch,female,43,160,48,2020,76,56,303,5,439,23.2,9.2,62.8,4.0,32,2
754,breakfast,female,43,160,48,2020,76,56,303,2,538,26.1,11.5,80.3,5.4,234,3
755,lunch,male,61,160,60,2026,76,56,304,2,552,19.4,32.7,44.4,3.7,109,3
756,lunch,male,39,173,58,2105,79,58,316,2,659,23.3,32.2,66.9,3.0,46,2
757,breakfast,male,39,173,58,2105,79,58,316,3,233,6.5,2.7,46.1,0.8,80,1
758,breakfast,female,35,160,48,1923,72,53,288,3,551,13.0,20.3,75.5,1.7,21,2
759,breakfast,female,39,158,51,1940,73,54,291,3,324,12.0,6.4,55.9,0.9,0,1
760,dinner,female,39,158,51,1940,73,54,291,3,489,19.3,19.6,57.1,3.2,110,3
761,lunch,female,39,158,51,1940,73,54,291,7,678,18.8,23.2,95.1,2.2,77,2
762,breakfast,male,47,173,76,2376,89,66,356,3,721,19.1,23.6,108.1,2.4,0,1
763,breakfast,male,61,160,60,2026,76,56,304,2,210,8.3,6.2,32.3,0.2,0,1
764,dinner,male,47,173,76,2376,89,66,356,4,679,30.2,28.0,69.9,4.1,60,2
765,dinner,male,39,173,58,2105,79,58,316,2,706,20.4,41.8,57.6,3.8,136,2
766,dinner,male,61,160,60,2026,76,56,304,1,142,2.2,0.2,31.4,0.0,0,1
767,lunch,male,61,160,60,2026,76,56,304,2,748,27.8,34.2,78.5,2.2,11,2
768,dinner,female,35,160,48,1923,72,53,288,3,534,18.1,17.0,75.2,5.1,278,3
769,lunch,female,29,157,48,1653,62,46,248,5,755,20.9,32.2,92.3,5.0,256,3
770,breakfast,female,29,157,48,1653,62,46,248,5,605,25.9,12.4,96.8,2.1,0,2
771,lunch,female,35,160,48,1923,72,53,288,1,273,12.1,13.7,24.9,1.6,0,1
772,breakfast,female,35,160,48,1923,72,53,288,4,374,11.5,11.5,56.3,2.2,150,2
773,dinner,female,43,160,48,2020,76,56,303,2,316,10.8,4.7,58.7,1.8,73,2
774,dinner,female,39,168,50,2018,76,56,303,8,1582,82.2,53.7,122.6,7.4,328,2
775,breakfast,female,39,168,50,2018,76,56,303,6,695,18.9,24.7,97.0,5.3,225,3
776,lunch,female,39,168,50,2018,76,56,303,4,957,41.1,50.1,78.9,3.1,120,2
777,breakfast,female,39,168,50,2018,76,56,303,4,341,11.3,10.9,52.6,1.1,30,2
778,lunch,female,39,168,50,2018,76,56,303,10,811,29.8,37.9,88.3,6.5,371,3
779,dinner,female,39,168,50,2018,76,56,303,4,708,33.7,24.6,85.5,5.5,175,3
780,lunch,female,39,168,50,2018,76,56,303,5,788,30.3,32.3,94.3,5.6,325,4
781,breakfast,female,39,168,50,2018,76,56,303,6,383,13.5,6.7,67.8,2.2,30,2
782,breakfast,female,29,156,48,1918,72,53,288,2,468,13.0,30.7,33.2,1.8,0,2
783,lunch,female,29,156,48,1918,72,53,288,3,543,18.3,25.7,59.0,2.6,0,3
784,breakfast,male,47,173,76,2376,89,66,356,1,569,18.2,16.2,87.5,2.2,0,1
785,lunch,male,39,173,58,2105,79,58,316,2,765,33.7,43.2,54.1,3.4,33,2
786,lunch,female,26,159,51,2042,77,57,306,1,1230,32.7,43.9,167.2,3.1,189,2
787,dinner,male,39,173,58,2105,79,58,316,3,871,49.0,37.0,80.0,4.7,138,2
788,breakfast,female,39,158,51,1940,73,54,291,3,370,13.2,7.3,64.7,1.0,0,1
789,breakfast,female,26,159,51,2042,77,57,306,1,594,21.0,24.6,68.9,1.5,110,1
790,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
791,breakfast,male,40,172,65,2582,97,72,387,1,313,12.6,12.5,37.1,2.5,7,1
792,dinner,male,61,160,60,2026,76,56,304,4,817,37.5,38.3,74.6,5.1,6,2
793,lunch,male,61,160,60,2026,76,56,304,2,781,24.4,52.3,52.8,3.5,44,2
794,breakfast,male,61,160,60,2026,76,56,304,2,210,8.3,6.2,32.3,0.2,0,1
795,breakfast,male,61,160,60,2026,76,56,304,3,296,11.4,8.0,44.1,0.8,0,1
796,dinner,female,26,159,51,2042,77,57,306,1,421,16.4,24.1,32.4,1.6,75,1
797,dinner,female,39,158,51,1940,73,54,291,3,452,20.3,10.0,67.4,1.6,25,2
798,dinner,male,61,160,60,2026,76,56,304,2,797,30.7,58.2,31.2,2.3,13,1
799,lunch,male,61,160,60,2026,76,56,304,2,807,22.0,23.7,123.1,3.3,24,2
800,breakfast,male,61,160,60,2026,76,56,304,3,409,16.5,7.6,67.1,2.5,3,2
801,dinner,female,39,168,50,2018,76,56,303,5,866,30.7,31.8,111.1,5.7,345,4
802,lunch,female,39,168,50,2018,76,56,303,6,808,30.2,43.1,71.6,5.0,217,3
803,dinner,male,39,173,58,2105,79,58,316,6,574,41.7,9.1,76.2,4.3,14,2
804,breakfast,female,39,168,50,2018,76,56,303,6,437,16.7,14.0,62.3,2.0,85,2
805,dinner,male,39,173,58,2105,79,58,316,1,639,20.2,23.3,83.0,4.1,98,3
806,lunch,female,43,160,48,2020,76,56,303,3,460,17.0,18.9,55.5,6.9,79,2
807,breakfast,female,43,160,48,2020,76,56,303,2,169,3.7,0.3,37.6,0.6,35,1
808,dinner,female,43,160,48,2020,76,56,303,1,204,0.0,0.0,0.0,0.0,0,1
