Date,Open,High,Low,Close,Volume
8/22/2017,3763.29,3983.19,3436.26,3854.08,0
8/23/2017,3852.92,4223.29,3767.21,3955.59,0
8/24/2017,3964.04,4231.45,3833.71,4037.4,0
8/25/2017,4031.4,4260.28,3855.53,4094.53,0
8/26/2017,4091.74,4412.98,3979.92,4279.98,0
8/27/2017,4282.89,4509.39,4128.25,4325.01,0
8/28/2017,4332.2,4511.56,4099.14,4365.14,0
8/29/2017,4369.88,4530.35,4161.9,4375.34,0
8/30/2017,4367.59,4586.66,4223.42,4486.69,0
8/31/2017,4479.9,4751.23,4416.58,4650.55,0
9/1/2017,4631.64,4932.73,4516.73,4833.25,0
9/2/2017,4834.7,4951,4167.06,4365.23,0
9/3/2017,4379.51,4581.76,4152.42,4387.21,0
9/4/2017,4387,4402.42,3549.23,3794.07,0
9/5/2017,3799.75,4104.6,3450.92,4015.34,0
9/6/2017,4021.54,4402.54,3984.6,4335.67,0
9/7/2017,4330.44,4436.22,4128.51,4279.81,0
9/8/2017,4283.28,4396.03,3678.73,3858.48,0
9/9/2017,3855.03,3931.56,3705.82,3824.18,0
9/10/2017,3818.55,3858.97,3455.99,3700.87,0
9/11/2017,3701.99,3877.67,3616.16,3746.85,0
9/12/2017,3753.18,3964.84,3647.53,3717.13,0
9/13/2017,3712.45,3734.34,3323.83,3510.75,0
9/14/2017,3508.92,3576,2684.55,2695.31,0
9/15/2017,2706.93,3247.19,2389.69,3118.38,0
9/16/2017,3120.46,3297.22,2940.9,3098.47,0
9/17/2017,3091.16,3176.12,2904.68,3095.27,0
9/18/2017,3096.11,3556.4,3093.92,3524.67,0
9/19/2017,3529.41,3557.87,3282.97,3357.64,0
9/20/2017,3351.48,3468.27,3268.67,3345.79,0
9/21/2017,3335.67,3380.23,3006.6,3054.41,0
9/22/2017,3053.54,3201.1,2983.04,3097.61,0
9/23/2017,3095.89,3302.78,3055.45,3273.17,0
9/24/2017,3272.53,3307.98,3149.31,3191.44,0
9/25/2017,3189.9,3437.83,3174.78,3399.43,0
9/26/2017,3401.62,3498.89,3323.79,3401.04,0
9/27/2017,3393.8,3764.28,3380.39,3715.03,0
9/28/2017,3709.05,3853.83,3563.33,3671.31,0
9/29/2017,3673.07,3722.14,3431.37,3608.02,0
9/30/2017,3608.94,3790.24,3572.57,3727.83,0
10/1/2017,3727.44,3798.73,3613.22,3724.85,0
10/2/2017,3723.86,3779.33,3596.61,3646.37,0
10/3/2017,3647.96,3688.39,3462.1,3573.06,0
10/4/2017,3574.48,3647.33,3435.2,3491.67,0
10/5/2017,3493.38,3617.55,3395.62,3550.58,0
10/6/2017,3550.92,3660.28,3505.8,3586.26,0
10/7/2017,3587.12,3662.21,3517.11,3621.21,0
10/8/2017,3613.78,3737.9,3471.81,3586.78,0
10/9/2017,3585.43,3692.53,3333.39,3494.81,0
10/10/2017,3496.09,3688.39,3436.36,3572.06,0
10/11/2017,3576.45,3700.96,3538.12,3637.32,0
10/12/2017,3640.36,3833.33,3507.9,3687.84,0
10/13/2017,3692.46,3947.42,3589.9,3838.73,0
10/14/2017,3839.31,3987.95,3768.99,3895.85,0
10/15/2017,3899.3,3966.76,3678.96,3838.52,0
10/16/2017,3841.01,3992.96,3729.91,3854.03,0
10/17/2017,3856.21,3989.65,3655.85,3795.32,0
10/18/2017,3796.85,3846.88,3474.55,3741.06,0
